scenario,t,id,numero_veicoli,densita,velocita
osm.sumocfg,0,1021647991,1,0.00953371468192061,20.023200000000003
osm.sumocfg,0,1178714446,2,0.05055762081784386,25.052
osm.sumocfg,0,1178714447,0,0.0,39.44
osm.sumocfg,0,1219095754,0,0.0,19.44
osm.sumocfg,0,1219095754-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,0,1219095756#0,0,0.0,19.44
osm.sumocfg,0,1275720499,0,0.0,19.44
osm.sumocfg,0,1275720499-AddedOffRampEdge,0,0.0,19.44
osm.sumocfg,0,1275720500,0,0.0,19.44
osm.sumocfg,0,1280975206,0,0.0,22.22
osm.sumocfg,0,1280975207,0,0.0,22.22
osm.sumocfg,0,1280975209#0,0,0.0,22.22
osm.sumocfg,0,1280975210,0,0.0,25.0
osm.sumocfg,0,1280975211#0,1,0.10638297872340426,9.72
osm.sumocfg,0,1280975212,0,0.0,22.22
osm.sumocfg,0,1280975213,0,0.0,19.44
osm.sumocfg,0,268118776,0,0.0,19.44
osm.sumocfg,0,268118781,0,0.0,19.44
osm.sumocfg,0,270520028,0,0.0,25.0
osm.sumocfg,0,270520032,0,0.0,25.0
osm.sumocfg,0,4314451,0,0.0,19.44
osm.sumocfg,0,624243984,0,0.0,19.44
osm.sumocfg,0,704287262,0,0.0,22.22
osm.sumocfg,0,704560552,0,0.0,22.22
osm.sumocfg,0,704560552-AddedOnRampEdge,0,0.0,22.22
osm.sumocfg,0,839672235,0,0.0,25.0
osm.sumocfg,0,839672236,0,0.0,39.44
osm.sumocfg,0,932385130#1,0,0.0,39.44
osm.sumocfg,0,932385130#1-AddedOnRampEdge,0,0.0,39.44
osm.sumocfg,0,932385139,0,0.0,22.22
osm.sumocfg,0,932385140,0,0.0,22.22
osm.sumocfg,0,932385142,0,0.0,25.0
osm.sumocfg,0,932385142-AddedOffRampEdge,0,0.0,25.0
osm.sumocfg,1,1021647991,1,0.00953371468192061,18.677642052589732
osm.sumocfg,1,1178714446,4,0.08029739776951673,24.871650873488488
osm.sumocfg,1,1178714447,0,0.0,39.44
osm.sumocfg,1,1219095754,0,0.0,19.44
osm.sumocfg,1,1219095754-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,1,1219095756#0,0,0.0,19.44
osm.sumocfg,1,1275720499,0,0.0,19.44
osm.sumocfg,1,1275720499-AddedOffRampEdge,0,0.0,19.44
osm.sumocfg,1,1275720500,0,0.0,19.44
osm.sumocfg,1,1280975206,0,0.0,22.22
osm.sumocfg,1,1280975207,0,0.0,22.22
osm.sumocfg,1,1280975209#0,0,0.0,22.22
osm.sumocfg,1,1280975210,0,0.0,25.0
osm.sumocfg,1,1280975211#0,1,0.10638297872340426,10.281935434147018
